ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.00040830575472389	2.42944938758425e-05	1.06538275798939e-05	2.53439374702754e-08	NA	NA	NA	NA	NA	P0AAJ5
0.000410846871135946	8.37205039475562e-06	7.7783117370055e-09	5.75829239667858e-08	4.01494355466114e-08	4.01494355466114e-08	1.61197704527156e-14	4.57237595350791e-14	NA	Q46857
0.000411399188585179	0.0620312333166872	9.29369302689742e-06	0.000685452325148548	2.35101445778263e-05	2.35101445778263e-05	5.52700909149982e-09	1.03596703071831e-08	NA	P0AE63
0.000413524537732095	0.131272160412546	0.132481209161458	0.459487858476917	0.143881873019435	0.131272160412546	0.131379561900589	0.139680503341338	NA	P39286
0.000416102010760564	0.591671672447424	0.014579459919721	4.51687398229532e-05	2.49463107704474e-06	4.51687398229532e-05	2.04003075555108e-08	3.67599744840846e-08	NA	P04951
0.000418666180768082	0.890706643856119	1.89698941936635e-05	5.51197289411587e-05	5.54979414684194e-08	1.89698941936635e-05	3.59843233018939e-09	6.84803703653389e-09	NA	Q46893
0.000420593202766387	1.76603745941171e-08	7.19828709864674e-15	7.56438632328678e-14	6.86025790716908e-05	7.56438632328678e-14	5.72199404479195e-26	5.51975115182948e-25	NA	P0CG19
0.000423630840911385	0.0493658507998149	0.102187674543312	0.00919577273148909	0.942898549598602	0.00919577273148909	0.000830177057738969	0.00105564559955671	NA	Q2MB16
0.000426183144101298	0.0395135445324122	0.157793674904287	1.10688070256382e-06	1.74865842159412e-06	1.74865842159412e-06	3.05779558130868e-11	6.75552468999883e-11	NA	P0A7Y0
0.000427847318681557	0.0109944326200566	0.000764680627050023	0.00374438136795657	0.000548192517670283	0.000548192517670283	3.00185691684975e-06	4.63321088269637e-06	NA	P32131
0.000429704456361369	3.5508878383886e-06	0.0854694893024195	0.00543893281794877	5.62686507097752e-05	5.62686507097752e-05	3.16580475651459e-08	5.61416089150528e-08	NA	P39165
0.000440532128646788	2.20852077562985e-08	4.47115386207084e-10	2.44988559964371e-12	1.70426765822381e-10	1.70426765822381e-10	2.90452824987765e-19	1.28974885381472e-18	NA	P60720
0.000441266222876458	0.000358170309201913	0.00124944731869056	0.00282292721784441	0.00109811991347254	0.000441266222876458	1.94544093235055e-06	3.05108395697304e-06	NA	P18775
