Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P06996;P21420	-0.448104218253913	-0.60368691427195	-0.292521522235877	27.2028203056775	-5.71508117240258	1.16578265322261e-07	2.18564946441934e-07	5.58766238416782	P06996;P21420	2	-5.6923400885958	1.23344169923705e-07	2.30791371483152e-07
P0ADY1	-0.217216221057189	-0.293927716886428	-0.14050472522795	23.4564266891788	-5.61870804854903	1.78138271626913e-07	3.29614017631236e-07	5.17157618187684	P0ADY1	38	-5.69095613826557	1.24103241481676e-07	2.3205830689209e-07
P37127	0.550946215233751	0.375111049601923	0.726781380865578	15.8444535461819	6.32455698379414	1.39280029379955e-07	2.59922058783554e-07	5.75506000185144	P37127	2	6.28229278072306	1.29723573039662e-07	2.42407548036491e-07
P0AE58	-0.476514766292105	-0.635403940262108	-0.317625592322102	18.5795450356132	-5.99751757671476	1.19684859470393e-07	2.23944373536472e-07	5.74295587577015	P0AE58	2	-5.94700242583241	1.30606586564238e-07	2.4389660063546e-07
P0ACV4	-0.29749866700967	-0.399011078574558	-0.195986255444781	19.9679214762031	-5.81527882739048	7.47624522296747e-08	1.42239584853635e-07	6.0240143653817	P0ACV4	2	-5.67695587949478	1.32044641387914e-07	2.46419498859054e-07
P0A9I3	0.165816285337325	0.108115418073755	0.223517152600895	20.227871400126	5.70229268434619	1.23348607261963e-07	2.30647230619959e-07	5.53224234233835	P0A9I3	5	5.6743396043391	1.3358303542138e-07	2.49126201105353e-07
P0C077	-0.326388287308486	-0.438725466610111	-0.214051108006861	19.0935079544284	-5.76521774036673	9.33822063121757e-08	1.76008672483202e-07	5.80553251060709	P0C077	2	-5.66381625064041	1.39950534789114e-07	2.60829469379843e-07
P0ADA1	-0.249161619986825	-0.336963162543747	-0.161360077429904	21.6942877613767	-5.63097583750094	1.68809469434551e-07	3.12966344446113e-07	5.22434091380986	P0ADA1	6	-5.66346174677163	1.40170146377456e-07	2.61066897628011e-07
P76053	0.171050853966353	0.111654386561555	0.23044732137115	19.4560850814848	5.71438233308299	1.16938620043737e-07	2.19095455555141e-07	5.5846322890026	P76053	4	5.66070416224464	1.41890029701872e-07	2.64096432666667e-07
P33371	0.232335283647718	0.157142764267832	0.307527803027604	18.1048506316552	6.14937930671904	2.91859979776833e-08	5.74187354237814e-08	7.02343703322786	P33371	2	5.75526797584013	1.44857369660542e-07	2.69442321622205e-07
