ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P76342	1.23434649361798e-05	0.15543946206213	0.412299471509713	3.96851801259885e-05	0.0012205158952971	-5.55864432407505	2.71878092841442e-08	4.60932395810657e-08	NA
P0ABU7	1.24792080215922e-05	3.0792531257903e-07	6.37977956663518e-09	8.09346025976905e-07	6.0641728860497e-12	-11.835632142283	2.5541189446531e-32	1.3135468858216e-31	NA
P00963	1.24869726165912e-05	6.36881570349286e-07	5.45913166336198e-07	3.79835428401338e-07	8.0821448339392e-09	-10.9689593362586	5.38890433593017e-28	2.26157296721004e-27	NA
P0A705	1.29631032814802e-05	0.0106743026313379	3.22179295201185e-06	6.58153527289238e-05	2.02220925894432e-11	-9.59070043378806	8.7489034956542e-22	2.74251342231119e-21	NA
P39172	1.32530135743769e-05	8.16778781305458e-09	5.65762166101327e-08	1.04486749849564e-13	1.81665988659002e-09	-12.6989515504072	5.99271576140077e-37	3.81414837410701e-36	NA
P0A744	1.33727050289251e-05	0.000143661420760224	8.70523027758844e-07	2.54695369725441e-10	1.78335566409254e-07	-10.6948024298212	1.07648826936924e-26	4.24696741888138e-26	NA
P76145	1.3419227806864e-05	0.000570567919940197	2.2390081700755e-06	5.53230660741193e-13	1.79708058428105e-10	-11.3713430107781	5.80868774873219e-30	2.68739288616044e-29	NA
P64463	1.3910803148707e-05	5.39937285215343e-09	0.000448095537632323	4.44007429230883e-09	4.44079307532777e-06	-10.4751337057827	1.12378687324712e-25	4.27261543888015e-25	NA
P0A9W3	1.47881643832061e-05	2.65348464745717e-07	4.84488892302253e-05	3.46516708355161e-13	6.01777331407637e-12	-12.097302713483	1.0913849980931e-33	5.83422514061833e-33	NA
P45537	1.48659188716317e-05	1.81465324075607e-06	4.89370911167746e-11	8.86766061135877e-14	9.56174840151536e-09	-12.6390868721656	1.28538016245471e-36	8.00409701160987e-36	NA
P30855	1.52410095832238e-05	4.6681948472709e-06	9.98627033152286e-09	3.14547794329229e-08	7.87511483869141e-09	-11.3044791394733	1.24691840239742e-29	5.61113281078841e-29	NA
