ID	down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC
P0AEI6	0.962045986909121	0.235220375617235	0.962045986909121	0.235220375617235	0.171100035252355
P0A9I5	0.999914977326592	0.00475775325798015	0.999914977326592	0.00475775325798015	NA
P76076	0.667656633921275	0.708495278201906	0.667656633921275	0.708495278201906	-0.137883342263267
P0AAB6	0.861321532500021	0.549106925526647	0.861321532500021	0.549106925526647	0.0114571992930927
P0AF20	0.581859106924838	0.842320822530825	0.581859106924838	0.842320822530825	-0.192618853062487
P61320	0.708066367525118	0.738077852407433	0.708066367525118	0.738077852407433	-0.10071218021235
P0ADC3	0.96454493189788	0.279978957556041	0.96454493189788	0.279978957556041	0.159694918884593
P76418	0.617117871252432	0.81153679656047	0.617117871252432	0.81153679656047	-0.163681973193255
P40191	0.883528196678194	0.289047816521678	0.883528196678194	0.289047816521678	0.0841510774602682
P03819	0.636446301557759	0.739485188576486	0.636446301557759	0.739485188576486	-0.139218462929983
P0ACV0	0.973565867703886	0.137078073473306	0.973565867703886	0.137078073473306	0.247100328056211
P08368	0.556662152230583	0.782154631041188	0.556662152230583	0.782154631041188	-0.194459538945283
P52645	0.552919258499497	0.858067084350188	0.552919258499497	0.858067084350188	-0.208461581501574
P16700	0.732690387118334	0.715565619771246	0.732690387118334	0.715565619771246	-0.0897915912572976
P0A6H5	0.9563732297566	0.312011136750174	0.9563732297566	0.312011136750174	0.135146384108043
P75937	0.00111716071804869	0.999848224395802	0.00111716071804869	0.999848224395802	-1.63161066045175
P0ABH0	0.982077191551726	0.187345605125705	0.982077191551726	0.187345605125705	0.219619345815722
P19323	0.949619995765576	0.263373065140836	0.949619995765576	0.263373065140836	0.152863703781074
P64564	0.0792807337058424	0.987824327556395	0.0792807337058424	0.987824327556395	-0.715545107372863
P61316	0.678388811359215	0.721986398224795	0.678388811359215	0.721986398224795	-0.133033107601721
P0AFP4	0.988618293485519	0.127764667011789	0.988618293485519	0.127764667011789	0.27516172950615
P0ACR9	0.881886122362736	0.425273267384038	0.881886122362736	0.425273267384038	0.0331986647661283
P0A769	0.999979274330693	0.00153883993063989	0.999979274330693	0.00153883993063989	NA
P0AE18	0.982256723566342	0.189575854082028	0.982256723566342	0.189575854082028	0.21439333536885
P0AG20	0.511840553766062	0.879410816777588	0.511840553766062	0.879410816777588	-0.235779109188144
P0AFK6	0.93648061240609	0.238295304648744	0.93648061240609	0.238295304648744	NA
P0A7D7	0.536866908722526	0.865909742255861	0.536866908722526	0.865909742255861	-0.220155098459289
P15288	0.74649740617293	0.712171307098705	0.74649740617293	0.712171307098705	-0.0808575266515142
