ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P0ACL5	1.80262840607475e-15	1.8816884995782e-13	1.26656543426921e-17	3.4400348129144e-21	1.97240201793381e-16	370.879039487795	1.46776324086506e-73	6.02023545679407e-72	NA
P0A9S3	1.98486340744634e-15	3.28379267446326e-14	3.69178686969172e-14	4.20577382888554e-16	1.61615037235083e-13	321.377923281719	4.65887857377918e-63	1.07930686959218e-61	NA
P0A9S1	2.33025043838251e-15	2.74149490145371e-17	2.1901879191863e-14	1.46185124967203e-15	3.10851020315951e-12	327.87279629917	1.96100291378413e-64	5.05817452606998e-63	NA
P0AFG6	2.86755128501702e-15	9.57295047472185e-15	2.16054416447055e-14	3.83052133408845e-18	9.89215891225484e-17	348.373437969039	8.82161591682561e-69	2.79388392707565e-67	NA
P09832	3.19863529277636e-15	1.4204565473625e-14	4.25907398027674e-16	3.86312319190189e-20	2.32847277873066e-23	394.936090552115	1.12547358765774e-78	8.5331361100596e-77	NA
P0AFT5	3.23400390444833e-15	6.81427997815393e-16	2.75502525437262e-17	7.96461419963483e-24	3.38377005657863e-19	404.270152966292	1.16103066777029e-80	1.1619594923045e-78	NA
P77252	3.4330357406678e-15	7.0622170315058e-20	2.77517554967655e-15	4.78332855870454e-16	6.24962189009807e-18	371.621144461594	1.02085382298256e-73	4.32911231373281e-72	NA
P0A6T3	3.48222565185534e-15	1.30517491857183e-15	6.59771808777106e-17	9.31363180385124e-20	6.20035804901233e-20	385.736168758959	1.01938692161215e-76	5.79660472244e-75	NA
P09831	3.51900024807805e-15	8.03395767875369e-16	5.68902568072317e-13	7.24587643707603e-20	1.46004486246827e-17	358.140199265886	7.45555514500036e-71	2.74320573129278e-69	NA
P37188	3.59950111364616e-15	2.9506280382041e-19	9.89895234345812e-18	2.67363766375842e-18	2.03903763423279e-21	406.368166643659	4.15157614031741e-81	4.3280181262809e-79	NA
P42593	4.40644561916039e-15	1.80340363907569e-16	6.47165498237863e-18	7.12000472634882e-17	9.02101585090017e-17	366.023842676028	1.57827453345657e-72	6.26800457572751e-71	NA
P33025	5.0405168894817e-15	1.74677196254246e-13	6.63284343085969e-21	2.44018355518527e-24	7.21290222204035e-14	386.77929343428	6.11637750890284e-77	3.73248207982315e-75	NA
P46118	5.93252061191955e-15	3.4933809026184e-17	1.15635928747396e-11	1.44809092863252e-20	4.73075166435709e-19	367.422103436175	7.96418206408463e-73	3.21393282650641e-71	NA
P0C8J8	5.97484746264625e-15	2.31288851784435e-16	6.18799416333157e-14	1.13664846967608e-14	2.46228991459997e-11	311.406227995773	6.01454880429077e-61	1.22344724458012e-59	NA
P0AC44	8.90212392755638e-15	NA	NA	2.81915631625491e-18	1.25799113484594e-16	NA	NA	NA	NA
P31142	1.00113452801452e-14	9.55694724047515e-11	4.42345768215425e-13	6.74075176272067e-19	1.26123530993407e-22	352.03727067792	1.47240217738528e-69	4.91193366375728e-68	NA
